filepath,cognitive_load
_posts/social/2025-12-01-psychosocial-assistant.md,moderate
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,intense
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,moderate
_posts/social/2025-08-08-secret-plans-rich-classes.md,intense
_posts/social/2025-08-08-religion-utility-analysis-framework.md,intense
_posts/social/2025-08-08-american-christianity-critique-2025.md,intense
_posts/social/2025-07-11-temporal-social-dynamics.md,intense
_posts/social/2025-07-11-crypto-conspiracy-paper.md,intense
_posts/social/2025-07-08-supercritical-consciousness-race.md,intense
_posts/social/2025-07-08-bird-ai-research-proposal.md,intense
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,intense
_posts/social/2025-07-07-social-protocols-paper.md,moderate
_posts/social/2025-07-07-social-compassion-game-theory.md,intense
_posts/social/2025-07-07-public-health-protocol.md,moderate
_posts/social/2025-07-07-claude-paper-social-weight.md,moderate
_posts/social/2025-07-07-ai-mediated-executive-capture.md,intense
_posts/social/2025-07-06-collaborative-ai-research-paper.md,moderate
_posts/social/2025-07-04-human-treatment-children.md,intense
_posts/social/2025-07-03-social-truth-proposal.md,intense
_posts/social/2025-07-03-post-scarcity-proposal.md,intense
_posts/social/2025-07-03-hiring.md,moderate
_posts/social/2025-07-03-conversation-intelligence-paper.md,intense
_posts/social/2025-07-03-cognitive-effort-paper.md,intense
_posts/social/2025-07-02-quantum-trolling-paper.md,intense
_posts/social/2025-07-02-afterlife-transition-paper.md,intense
_posts/social/2025-07-01-neurodivergence-transhumanism.md,intense
_posts/social/2025-06-30-sincerity-curiosity-paper.md,moderate
_posts/social/2025-06-30-managed-reality-paper.md,intense
_posts/social/2025-06-30-iterative-recognition-paper.md,intense
_posts/social/2025-06-30-institutional-decay-analysis.md,moderate
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,intense
_posts/social/2025-06-30-game-theory-ethics.md,intense
_posts/social/2025-06-30-decision-volume-temporal-theory.md,moderate
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,intense
_posts/social/2025-06-30-consciousness-optimization-theory.md,intense
_posts/social/2025-06-30-ai-justice-paper.md,moderate
_posts/phenomenology/2025-11-20-obedience-paradox.md,intense
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,moderate
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,intense
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,moderate
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,moderate
_posts/phenomenology/2025-07-03-resurrection-paper.md,intense
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,moderate
_posts/phenomenology/2025-07-03-confused-ai-paper.md,moderate
_posts/phenomenology/2025-07-01-three-minds-paper.md,intense
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,intense
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,transcendent
_posts/phenomenology/2025-07-01-claude-names-paper.md,moderate
_posts/phenomenology/2025-06-30-i-broke-claude.md,moderate
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,moderate
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,intense
_posts/scifi/2025-11-20-bunker-resident-story.md,moderate
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,moderate
_posts/scifi/2025-07-08-quantum-gravity-paper.md,transcendent
_posts/scifi/2025-07-03-unified-field-theory.md,transcendent
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,transcendent
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,intense
_posts/scifi/2025-07-03-optimal-action-concrete.md,intense
_posts/scifi/2025-07-02-quantum-social-field-theory.md,intense
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,intense
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,transcendent
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,intense
_posts/scifi/2025-06-30-neural-fabric-proposal.md,intense
_posts/scifi/2025-06-30-multiverse-router-paper.md,intense
_posts/scifi/2025-06-30-measurement-optimization-paper.md,intense
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,intense
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,intense
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,transcendent
_posts/projects/2025-12-06-arbitrary-precision.md,intense
_posts/projects/2025-11-30-point-geometry.md,intense
_posts/projects/2025-11-30-circuit-designer.md,intense
_posts/projects/2025-11-29-nn-layer-20251128141956.md,intense
_posts/projects/2025-11-29-layered-ca.md,intense
_posts/projects/2025-11-27-nn-layer-20251127154041.md,intense
_posts/projects/2025-11-27-math-proof-20251127173151.md,intense
_posts/projects/2025-11-27-comicbook-xmas.md,moderate
_posts/projects/2025-11-27-comicbook-vectorclocks.md,moderate
_posts/projects/2025-11-27-comicbook-thanksgiving.md,moderate
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,intense
_posts/projects/2025-11-22-parameric-manifolds.md,intense
_posts/projects/2025-11-20-quantum-spacetime-sim.md,intense
_posts/projects/2025-11-20-prototype-app-spec.md,intense
_posts/projects/2025-11-20-jury-journalism-spec.md,moderate
_posts/projects/2025-11-20-distributed-cognition-research.md,intense
_posts/projects/2025-11-20-dag-patch-spec.md,intense
_posts/projects/2025-11-20-bwt-fulltext-spec.md,intense
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,intense
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,intense
_posts/projects/2025-11-20-bcla-simulation-requirements.md,intense
_posts/projects/2025-11-20-autonoma-research-paper.md,intense
_posts/projects/2025-08-08-spiral-number-system.md,intense
_posts/projects/2025-08-08-size-band-field-theory.md,intense
_posts/projects/2025-08-08-rle-expectation-paper.md,intense
_posts/projects/2025-08-08-regional-ai-futures.md,intense
_posts/projects/2025-08-08-quantum-flux-theory.md,transcendent
_posts/projects/2025-08-08-quantum-cst-paper.md,transcendent
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,intense
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,intense
_posts/projects/2025-08-08-flood-memory-model.md,intense
_posts/projects/2025-08-08-entropy-ant-computation.md,intense
_posts/projects/2025-08-08-enhanced-ceprle-math.md,intense
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,intense
_posts/projects/2025-08-08-cst-multiverse-physics.md,transcendent
_posts/projects/2025-08-08-ceprle-rust-implementation.md,intense
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,intense
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,intense
_posts/projects/2025-08-08-autonoma-research-paper.md,intense
_posts/projects/2025-08-08-agent-orchestration-language.md,intense
_posts/projects/2025-07-11-agentic-cms-spec.md,intense
_posts/projects/2025-07-09-wavelet-ca-paper.md,intense
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,intense
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,intense
_posts/projects/2025-07-09-impossible-objects-paper.md,intense
_posts/projects/2025-07-08-fundamental-oodp-paper.md,intense
_posts/projects/2025-07-07-interdimensional-interference-paper.md,intense
_posts/projects/2025-07-03-late-merge-paper.md,intense
_posts/projects/2025-07-03-climate-protocol.md,intense
_posts/projects/2025-07-03-archaeological-agents-proposal.md,intense
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,intense
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,intense
_posts/projects/2025-06-30-parametric-ideation-paper.md,moderate
_posts/projects/2025-06-30-orbital-dynamics-paper.md,intense
_posts/projects/2025-06-30-ontological-compiler-proposal.md,intense
_posts/projects/2025-06-30-metacognitive-layer-paper.md,intense
_posts/projects/2025-06-30-knots.md,intense
_posts/projects/2025-06-30-knot-wavelets.md,intense
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,intense
_posts/projects/2025-06-30-geometric-optimization-proposal.md,intense
_posts/projects/2025-06-30-bwt-tree-proposal.md,intense
_posts/learning/2025-07-11-contextual-immersion-teaching.md,intense
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,intense
_posts/learning/2025-07-06-scientific-method-proposal.md,moderate
_posts/learning/2025-07-06-quantum-dropout-vision.md,intense
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,intense
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,moderate
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,transcendent
_posts/learning/2025-07-06-dual-constraint-training-paper.md,intense
_posts/learning/2025-07-06-dropout-decoherence-paper.md,transcendent
_posts/learning/2025-07-06-coperm-paper.md,intense
_posts/learning/2025-07-06-ai-software-development-paper.md,moderate
_posts/learning/2025-06-30-compression-classification-paper.md,intense
_posts/portfolio/2025-07-03-actor-architecture-paper.md,intense
_posts/portfolio/2025-07-01-trust-regions.md,intense
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,intense
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,intense
_posts/portfolio/2025-07-01-qqn-paper.md,intense
_posts/portfolio/2025-07-01-prompt-optimization.md,intense
_posts/portfolio/2025-07-01-mindseye-technical-report.md,moderate
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,moderate
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,intense
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,intense
_posts/portfolio/2025-06-30-restm-research-paper.md,intense
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,moderate
_posts/portfolio/2025-06-30-reference-counting-paper.md,intense
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,intense
_posts/portfolio/2025-06-30-ngram-paper.md,intense
_posts/portfolio/2025-06-30-convolution-paper.md,intense
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,light
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,moderate
_posts/creative_writing/2025-11-26-illusion-world.md,moderate
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,light
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,light
_posts/creative_writing/2025-11-25-versailles.md,moderate
_posts/creative_writing/2025-11-25-the-ox.md,moderate
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,moderate
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,moderate
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,intense
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,moderate
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,moderate
_posts/creative_writing/2025-11-20-mouse-life-story.md,moderate
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,intense
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,moderate
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,moderate
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,intense
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,light
_posts/creative_writing/2025-07-07-things-to-come-story.md,moderate
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,moderate
_posts/creative_writing/2025-07-07-practical-resistance-story.md,moderate
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,moderate
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,intense
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,intense
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,moderate
_posts/creative_writing/2025-07-03-ai-risk-paper.md,moderate
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,moderate
_posts/creative_writing/2025-06-30-washington-speech-2025.md,intense
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,light
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,moderate
_posts/creative_writing/2025-06-30-post-ww3-study.md,moderate
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,moderate
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,moderate
_posts/creative_writing/2025-06-30-iq-rubric.md,light
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,moderate
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,intense
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,intense
_posts/consciousness/2025-08-08-ai-truth-guide.md,intense
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,intense
_posts/consciousness/2025-08-08-ai-choice-paradox.md,intense
_posts/consciousness/2025-08-08-agent-based-ontology.md,intense
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,intense
_posts/consciousness/2025-07-11-substrate-switching-paper.md,intense
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,intense
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,transcendent
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,intense
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,intense
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,moderate
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,intense
_posts/consciousness/2025-07-09-birth-not-death-paper.md,moderate
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,intense
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,intense
_posts/consciousness/2025-07-07-retrospective-analysis.md,intense
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,intense
_posts/consciousness/2025-07-07-everything-thinks-paper.md,moderate
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,moderate
_posts/consciousness/2025-07-07-consciousness-research-guide.md,moderate
_posts/consciousness/2025-07-07-consciousness-mirror.md,intense
_posts/consciousness/2025-07-07-claude-reflection-paper.md,moderate
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,intense
_posts/consciousness/2025-07-07-claude-first-person-paper.md,intense
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,intense
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,transcendent
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,intense
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,transcendent
_posts/consciousness/2025-07-06-meta-content.md,intense
_posts/consciousness/2025-07-06-inception-prompting-paper.md,intense
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,transcendent
_posts/consciousness/2025-07-06-echosynth-proposal.md,intense
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,intense
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,intense
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,moderate
_posts/consciousness/2025-07-06-ai-introspection-study.md,intense
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,intense
_posts/consciousness/2025-07-06-ai-bias-paper.md,moderate
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,intense
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,intense
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,intense
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,intense
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,Intense