filepath,difficulty_level
_posts/social/2025-12-01-psychosocial-assistant.md,intermediate
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,intermediate
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,intermediate
_posts/social/2025-08-08-secret-plans-rich-classes.md,advanced
_posts/social/2025-08-08-religion-utility-analysis-framework.md,advanced
_posts/social/2025-08-08-american-christianity-critique-2025.md,intermediate
_posts/social/2025-07-11-temporal-social-dynamics.md,advanced
_posts/social/2025-07-11-crypto-conspiracy-paper.md,advanced
_posts/social/2025-07-08-supercritical-consciousness-race.md,advanced
_posts/social/2025-07-08-bird-ai-research-proposal.md,research
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,advanced
_posts/social/2025-07-07-social-protocols-paper.md,intermediate
_posts/social/2025-07-07-social-compassion-game-theory.md,advanced
_posts/social/2025-07-07-public-health-protocol.md,intermediate
_posts/social/2025-07-07-claude-paper-social-weight.md,accessible
_posts/social/2025-07-07-ai-mediated-executive-capture.md,advanced
_posts/social/2025-07-06-collaborative-ai-research-paper.md,intermediate
_posts/social/2025-07-04-human-treatment-children.md,advanced
_posts/social/2025-07-03-social-truth-proposal.md,advanced
_posts/social/2025-07-03-post-scarcity-proposal.md,advanced
_posts/social/2025-07-03-hiring.md,intermediate
_posts/social/2025-07-03-conversation-intelligence-paper.md,advanced
_posts/social/2025-07-03-cognitive-effort-paper.md,advanced
_posts/social/2025-07-02-quantum-trolling-paper.md,advanced
_posts/social/2025-07-02-afterlife-transition-paper.md,advanced
_posts/social/2025-07-01-neurodivergence-transhumanism.md,advanced
_posts/social/2025-06-30-sincerity-curiosity-paper.md,intermediate
_posts/social/2025-06-30-managed-reality-paper.md,advanced
_posts/social/2025-06-30-iterative-recognition-paper.md,advanced
_posts/social/2025-06-30-institutional-decay-analysis.md,intermediate
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,advanced
_posts/social/2025-06-30-game-theory-ethics.md,advanced
_posts/social/2025-06-30-decision-volume-temporal-theory.md,intermediate
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,advanced
_posts/social/2025-06-30-consciousness-optimization-theory.md,advanced
_posts/social/2025-06-30-ai-justice-paper.md,intermediate
_posts/phenomenology/2025-11-20-obedience-paradox.md,advanced
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,intermediate
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,advanced
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,intermediate
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,intermediate
_posts/phenomenology/2025-07-03-resurrection-paper.md,advanced
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,intermediate
_posts/phenomenology/2025-07-03-confused-ai-paper.md,intermediate
_posts/phenomenology/2025-07-01-three-minds-paper.md,advanced
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,advanced
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,advanced
_posts/phenomenology/2025-07-01-claude-names-paper.md,intermediate
_posts/phenomenology/2025-06-30-i-broke-claude.md,intermediate
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,intermediate
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,intermediate
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,intermediate
_posts/scifi/2025-07-08-quantum-gravity-paper.md,research
_posts/scifi/2025-07-03-unified-field-theory.md,research
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,research
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,advanced
_posts/scifi/2025-07-03-optimal-action-concrete.md,research
_posts/scifi/2025-07-02-quantum-social-field-theory.md,advanced
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,research
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,advanced
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,advanced
_posts/scifi/2025-06-30-neural-fabric-proposal.md,research
_posts/scifi/2025-06-30-multiverse-router-paper.md,advanced
_posts/scifi/2025-06-30-measurement-optimization-paper.md,research
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,research
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,advanced
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,research
_posts/projects/2025-12-06-arbitrary-precision.md,advanced
_posts/projects/2025-11-30-point-geometry.md,advanced
_posts/projects/2025-11-30-circuit-designer.md,advanced
_posts/projects/2025-11-29-nn-layer-20251128141956.md,research
_posts/projects/2025-11-29-layered-ca.md,research
_posts/projects/2025-11-27-nn-layer-20251127154041.md,advanced
_posts/projects/2025-11-27-math-proof-20251127173151.md,advanced
_posts/projects/2025-11-27-comicbook-xmas.md,accessible
_posts/projects/2025-11-27-comicbook-vectorclocks.md,intermediate
_posts/projects/2025-11-27-comicbook-thanksgiving.md,intermediate
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,advanced
_posts/projects/2025-11-22-parameric-manifolds.md,advanced
_posts/projects/2025-11-20-quantum-spacetime-sim.md,advanced
_posts/projects/2025-11-20-prototype-app-spec.md,advanced
_posts/projects/2025-11-20-jury-journalism-spec.md,intermediate
_posts/projects/2025-11-20-distributed-cognition-research.md,advanced
_posts/projects/2025-11-20-dag-patch-spec.md,advanced
_posts/projects/2025-11-20-bwt-fulltext-spec.md,advanced
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,advanced
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,advanced
_posts/projects/2025-11-20-bcla-simulation-requirements.md,advanced
_posts/projects/2025-11-20-autonoma-research-paper.md,advanced
_posts/projects/2025-08-08-spiral-number-system.md,advanced
_posts/projects/2025-08-08-size-band-field-theory.md,research
_posts/projects/2025-08-08-rle-expectation-paper.md,research
_posts/projects/2025-08-08-regional-ai-futures.md,advanced
_posts/projects/2025-08-08-quantum-flux-theory.md,research
_posts/projects/2025-08-08-quantum-cst-paper.md,research
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,advanced
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,advanced
_posts/projects/2025-08-08-flood-memory-model.md,advanced
_posts/projects/2025-08-08-entropy-ant-computation.md,advanced
_posts/projects/2025-08-08-enhanced-ceprle-math.md,advanced
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,research
_posts/projects/2025-08-08-cst-multiverse-physics.md,research
_posts/projects/2025-08-08-ceprle-rust-implementation.md,advanced
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,advanced
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,advanced
_posts/projects/2025-08-08-autonoma-research-paper.md,research
_posts/projects/2025-08-08-agent-orchestration-language.md,advanced
_posts/projects/2025-07-11-agentic-cms-spec.md,advanced
_posts/projects/2025-07-09-wavelet-ca-paper.md,research
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,research
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,research
_posts/projects/2025-07-09-impossible-objects-paper.md,advanced
_posts/projects/2025-07-08-fundamental-oodp-paper.md,research
_posts/projects/2025-07-07-interdimensional-interference-paper.md,advanced
_posts/projects/2025-07-03-late-merge-paper.md,advanced
_posts/projects/2025-07-03-climate-protocol.md,advanced
_posts/projects/2025-07-03-archaeological-agents-proposal.md,advanced
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,advanced
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,advanced
_posts/projects/2025-06-30-parametric-ideation-paper.md,intermediate
_posts/projects/2025-06-30-orbital-dynamics-paper.md,advanced
_posts/projects/2025-06-30-ontological-compiler-proposal.md,advanced
_posts/projects/2025-06-30-metacognitive-layer-paper.md,advanced
_posts/projects/2025-06-30-knots.md,advanced
_posts/projects/2025-06-30-knot-wavelets.md,advanced
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,advanced
_posts/projects/2025-06-30-geometric-optimization-proposal.md,advanced
_posts/projects/2025-06-30-bwt-tree-proposal.md,advanced
_posts/learning/2025-07-11-contextual-immersion-teaching.md,advanced
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,research
_posts/learning/2025-07-06-scientific-method-proposal.md,intermediate
_posts/learning/2025-07-06-quantum-dropout-vision.md,advanced
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,advanced
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,advanced
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,intermediate
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,research
_posts/learning/2025-07-06-dual-constraint-training-paper.md,advanced
_posts/learning/2025-07-06-dropout-decoherence-paper.md,research
_posts/learning/2025-07-06-coperm-paper.md,advanced
_posts/learning/2025-07-06-ai-software-development-paper.md,intermediate
_posts/learning/2025-06-30-compression-classification-paper.md,advanced
_posts/portfolio/2025-07-03-actor-architecture-paper.md,advanced
_posts/portfolio/2025-07-01-trust-regions.md,advanced
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,advanced
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,advanced
_posts/portfolio/2025-07-01-qqn-paper.md,advanced
_posts/portfolio/2025-07-01-prompt-optimization.md,advanced
_posts/portfolio/2025-07-01-mindseye-technical-report.md,intermediate
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,intermediate
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,advanced
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,advanced
_posts/portfolio/2025-06-30-restm-research-paper.md,advanced
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,intermediate
_posts/portfolio/2025-06-30-reference-counting-paper.md,advanced
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,advanced
_posts/portfolio/2025-06-30-ngram-paper.md,advanced
_posts/portfolio/2025-06-30-convolution-paper.md,advanced
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,accessible
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,accessible
_posts/creative_writing/2025-11-26-illusion-world.md,intermediate
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,accessible
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,accessible
_posts/creative_writing/2025-11-25-versailles.md,accessible
_posts/creative_writing/2025-11-25-the-ox.md,accessible
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,accessible
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,accessible
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,advanced
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,accessible
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,accessible
_posts/creative_writing/2025-11-20-mouse-life-story.md,intermediate
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,advanced
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,intermediate
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,accessible
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,advanced
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,accessible
_posts/creative_writing/2025-07-07-things-to-come-story.md,accessible
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,accessible
_posts/creative_writing/2025-07-07-practical-resistance-story.md,accessible
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,accessible
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,advanced
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,accessible
_posts/creative_writing/2025-07-03-ai-risk-paper.md,intermediate
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,intermediate
_posts/creative_writing/2025-06-30-washington-speech-2025.md,intermediate
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,accessible
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,intermediate
_posts/creative_writing/2025-06-30-post-ww3-study.md,intermediate
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,intermediate
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,accessible
_posts/creative_writing/2025-06-30-iq-rubric.md,accessible
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,accessible
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,advanced
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,intermediate
_posts/consciousness/2025-08-08-ai-truth-guide.md,advanced
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,advanced
_posts/consciousness/2025-08-08-ai-choice-paradox.md,advanced
_posts/consciousness/2025-08-08-agent-based-ontology.md,advanced
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,advanced
_posts/consciousness/2025-07-11-substrate-switching-paper.md,research
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,advanced
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,research
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,research
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,advanced
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,intermediate
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,advanced
_posts/consciousness/2025-07-09-birth-not-death-paper.md,intermediate
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,advanced
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,advanced
_posts/consciousness/2025-07-07-retrospective-analysis.md,advanced
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,advanced
_posts/consciousness/2025-07-07-everything-thinks-paper.md,intermediate
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,intermediate
_posts/consciousness/2025-07-07-consciousness-research-guide.md,intermediate
_posts/consciousness/2025-07-07-consciousness-mirror.md,advanced
_posts/consciousness/2025-07-07-claude-reflection-paper.md,intermediate
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,advanced
_posts/consciousness/2025-07-07-claude-first-person-paper.md,advanced
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,advanced
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,research
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,advanced
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,advanced
_posts/consciousness/2025-07-06-meta-content.md,research
_posts/consciousness/2025-07-06-inception-prompting-paper.md,advanced
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,research
_posts/consciousness/2025-07-06-echosynth-proposal.md,research
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,advanced
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,research
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,intermediate
_posts/consciousness/2025-07-06-ai-introspection-study.md,advanced
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,advanced
_posts/consciousness/2025-07-06-ai-bias-paper.md,intermediate
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,advanced
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,advanced
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,advanced
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,advanced
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,advanced