filepath,document_type
_posts/social/2025-12-01-psychosocial-assistant.md,project
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,position_paper
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,synthesis
_posts/social/2025-08-08-secret-plans-rich-classes.md,research_paper
_posts/social/2025-08-08-religion-utility-analysis-framework.md,framework
_posts/social/2025-08-08-american-christianity-critique-2025.md,research_paper
_posts/social/2025-07-11-temporal-social-dynamics.md,research_paper
_posts/social/2025-07-11-crypto-conspiracy-paper.md,research_paper
_posts/social/2025-07-08-supercritical-consciousness-race.md,research_paper
_posts/social/2025-07-08-bird-ai-research-proposal.md,research_paper
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,research_paper
_posts/social/2025-07-07-social-protocols-paper.md,research_paper
_posts/social/2025-07-07-social-compassion-game-theory.md,research_paper
_posts/social/2025-07-07-public-health-protocol.md,research_paper
_posts/social/2025-07-07-claude-paper-social-weight.md,reflection
_posts/social/2025-07-07-ai-mediated-executive-capture.md,research_paper
_posts/social/2025-07-06-collaborative-ai-research-paper.md,research_paper
_posts/social/2025-07-04-human-treatment-children.md,research_paper
_posts/social/2025-07-03-social-truth-proposal.md,research_paper
_posts/social/2025-07-03-post-scarcity-proposal.md,research_paper
_posts/social/2025-07-03-hiring.md,framework
_posts/social/2025-07-03-conversation-intelligence-paper.md,research_paper
_posts/social/2025-07-03-cognitive-effort-paper.md,research_paper
_posts/social/2025-07-02-quantum-trolling-paper.md,research_paper
_posts/social/2025-07-02-afterlife-transition-paper.md,research_paper
_posts/social/2025-07-01-neurodivergence-transhumanism.md,research_paper
_posts/social/2025-06-30-sincerity-curiosity-paper.md,research_paper
_posts/social/2025-06-30-managed-reality-paper.md,research_paper
_posts/social/2025-06-30-iterative-recognition-paper.md,research_paper
_posts/social/2025-06-30-institutional-decay-analysis.md,framework
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,research_paper
_posts/social/2025-06-30-game-theory-ethics.md,research_paper
_posts/social/2025-06-30-decision-volume-temporal-theory.md,research_paper
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,synthesis
_posts/social/2025-06-30-consciousness-optimization-theory.md,research_paper
_posts/social/2025-06-30-ai-justice-paper.md,framework
_posts/phenomenology/2025-11-20-obedience-paradox.md,position_paper
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,theoretical_framework
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,theoretical_framework
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,reflection
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,research_paper
_posts/phenomenology/2025-07-03-resurrection-paper.md,research_paper
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,research_paper
_posts/phenomenology/2025-07-03-confused-ai-paper.md,research_paper
_posts/phenomenology/2025-07-01-three-minds-paper.md,research_paper
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,research_paper
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,Technical-Report
_posts/phenomenology/2025-07-01-claude-names-paper.md,reflection
_posts/phenomenology/2025-06-30-i-broke-claude.md,reflection
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,reflection
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,reflection
_posts/scifi/2025-11-20-bunker-resident-story.md,creative_writing
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,synthesis
_posts/scifi/2025-07-08-quantum-gravity-paper.md,research_paper
_posts/scifi/2025-07-03-unified-field-theory.md,research_paper
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,research_paper
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,research_paper
_posts/scifi/2025-07-03-optimal-action-concrete.md,research_paper
_posts/scifi/2025-07-02-quantum-social-field-theory.md,research_paper
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,research_paper
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,Research-Paper
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,research_paper
_posts/scifi/2025-06-30-neural-fabric-proposal.md,research-paper
_posts/scifi/2025-06-30-multiverse-router-paper.md,research_paper
_posts/scifi/2025-06-30-measurement-optimization-paper.md,research_paper
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,research_paper
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,research_paper
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,research_paper
_posts/projects/2025-12-06-arbitrary-precision.md,framework
_posts/projects/2025-11-30-point-geometry.md,framework
_posts/projects/2025-11-30-circuit-designer.md,technical_proposal
_posts/projects/2025-11-29-nn-layer-20251128141956.md,framework
_posts/projects/2025-11-29-layered-ca.md,research_paper
_posts/projects/2025-11-27-nn-layer-20251127154041.md,technical_specification
_posts/projects/2025-11-27-math-proof-20251127173151.md,research_paper
_posts/projects/2025-11-27-comicbook-xmas.md,creative_work
_posts/projects/2025-11-27-comicbook-vectorclocks.md,creative_writing
_posts/projects/2025-11-27-comicbook-thanksgiving.md,creative_writing
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,research_paper
_posts/projects/2025-11-22-parameric-manifolds.md,framework
_posts/projects/2025-11-20-quantum-spacetime-sim.md,technical_report
_posts/projects/2025-11-20-prototype-app-spec.md,framework
_posts/projects/2025-11-20-jury-journalism-spec.md,technical_proposal
_posts/projects/2025-11-20-distributed-cognition-research.md,research_paper
_posts/projects/2025-11-20-dag-patch-spec.md,framework
_posts/projects/2025-11-20-bwt-fulltext-spec.md,research_paper
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,technical_framework
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,technical_specification
_posts/projects/2025-11-20-bcla-simulation-requirements.md,technical_specification
_posts/projects/2025-11-20-autonoma-research-paper.md,research_paper
_posts/projects/2025-08-08-spiral-number-system.md,framework
_posts/projects/2025-08-08-size-band-field-theory.md,research_paper
_posts/projects/2025-08-08-rle-expectation-paper.md,research_paper
_posts/projects/2025-08-08-regional-ai-futures.md,research_paper
_posts/projects/2025-08-08-quantum-flux-theory.md,research_paper
_posts/projects/2025-08-08-quantum-cst-paper.md,research_paper
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,research_paper
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,research_paper
_posts/projects/2025-08-08-flood-memory-model.md,research_paper
_posts/projects/2025-08-08-entropy-ant-computation.md,research_paper
_posts/projects/2025-08-08-enhanced-ceprle-math.md,framework
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,research_paper
_posts/projects/2025-08-08-cst-multiverse-physics.md,research_paper
_posts/projects/2025-08-08-ceprle-rust-implementation.md,technical_proposal
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,research_paper
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,research_paper
_posts/projects/2025-08-08-autonoma-research-paper.md,research_paper
_posts/projects/2025-08-08-agent-orchestration-language.md,framework
_posts/projects/2025-07-11-agentic-cms-spec.md,framework
_posts/projects/2025-07-09-wavelet-ca-paper.md,research_paper
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,research_paper
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,research_paper
_posts/projects/2025-07-09-impossible-objects-paper.md,research_paper
_posts/projects/2025-07-08-fundamental-oodp-paper.md,research_paper
_posts/projects/2025-07-07-interdimensional-interference-paper.md,research_paper
_posts/projects/2025-07-03-late-merge-paper.md,research_paper
_posts/projects/2025-07-03-climate-protocol.md,research_paper
_posts/projects/2025-07-03-archaeological-agents-proposal.md,framework
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,research_paper
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,research_paper
_posts/projects/2025-06-30-parametric-ideation-paper.md,research_paper
_posts/projects/2025-06-30-orbital-dynamics-paper.md,research_paper
_posts/projects/2025-06-30-ontological-compiler-proposal.md,research_paper
_posts/projects/2025-06-30-metacognitive-layer-paper.md,research_paper
_posts/projects/2025-06-30-knots.md,research_paper
_posts/projects/2025-06-30-knot-wavelets.md,synthesis
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,research_paper
_posts/projects/2025-06-30-geometric-optimization-proposal.md,research_paper
_posts/projects/2025-06-30-bwt-tree-proposal.md,research_paper
_posts/learning/2025-07-11-contextual-immersion-teaching.md,research_paper
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,research_paper
_posts/learning/2025-07-06-scientific-method-proposal.md,framework
_posts/learning/2025-07-06-quantum-dropout-vision.md,research_paper
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,research_paper
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,research_paper
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,framework
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,research_paper
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,research_paper
_posts/learning/2025-07-06-coperm-paper.md,research_paper
_posts/learning/2025-07-06-ai-software-development-paper.md,research_paper
_posts/learning/2025-06-30-compression-classification-paper.md,research_paper
_posts/portfolio/2025-07-03-actor-architecture-paper.md,research_paper
_posts/portfolio/2025-07-01-trust-regions.md,research_paper
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,research_paper
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,research_paper
_posts/portfolio/2025-07-01-qqn-paper.md,research_paper
_posts/portfolio/2025-07-01-prompt-optimization.md,research_paper
_posts/portfolio/2025-07-01-mindseye-technical-report.md,research_paper
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,research_paper
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,research_paper
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,research_paper
_posts/portfolio/2025-06-30-restm-research-paper.md,research_paper
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,research_paper
_posts/portfolio/2025-06-30-reference-counting-paper.md,research_paper
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,research_paper
_posts/portfolio/2025-06-30-ngram-paper.md,research_paper
_posts/portfolio/2025-06-30-convolution-paper.md,research_paper
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,reflection
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,experiment
_posts/creative_writing/2025-11-26-illusion-world.md,creative_work
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,creative_work
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,creative_work
_posts/creative_writing/2025-11-25-versailles.md,creative_work
_posts/creative_writing/2025-11-25-the-ox.md,creative_writing
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,creative_writing
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,creative_writing
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,framework
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,creative_work
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,creative_writing
_posts/creative_writing/2025-11-20-mouse-life-story.md,creative_writing
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,creative_writing
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,creative_writing
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,creative_writing
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,framework
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,reflection
_posts/creative_writing/2025-07-07-things-to-come-story.md,creative_fiction
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,creative_work
_posts/creative_writing/2025-07-07-practical-resistance-story.md,creative_work
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,cautionary_fiction
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,reflection
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,research_paper
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,reflection
_posts/creative_writing/2025-07-03-ai-risk-paper.md,reflection
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,educational_satire
_posts/creative_writing/2025-06-30-washington-speech-2025.md,reflection
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,experiment
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,research_paper
_posts/creative_writing/2025-06-30-post-ww3-study.md,creative_writing
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,creative_synthesis
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,creative_writing
_posts/creative_writing/2025-06-30-iq-rubric.md,framework
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,creative_writing
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,theoretical_framework
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,reflection
_posts/consciousness/2025-08-08-ai-truth-guide.md,framework
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,research_paper
_posts/consciousness/2025-08-08-ai-choice-paradox.md,research_paper
_posts/consciousness/2025-08-08-agent-based-ontology.md,research_paper
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,framework
_posts/consciousness/2025-07-11-substrate-switching-paper.md,research_paper
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,research_paper
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,experiment
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,research_paper
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,research_paper
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,research_paper
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,framework
_posts/consciousness/2025-07-09-birth-not-death-paper.md,research_paper
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,research_paper
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,reflection
_posts/consciousness/2025-07-07-retrospective-analysis.md,research_paper
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,research_paper
_posts/consciousness/2025-07-07-everything-thinks-paper.md,research_paper
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,research_paper
_posts/consciousness/2025-07-07-consciousness-research-guide.md,research_paper
_posts/consciousness/2025-07-07-consciousness-mirror.md,research_paper
_posts/consciousness/2025-07-07-claude-reflection-paper.md,reflection
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,research_paper
_posts/consciousness/2025-07-07-claude-first-person-paper.md,research_paper
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,research_paper
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,research_paper
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,research_paper
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,research_paper
_posts/consciousness/2025-07-06-meta-content.md,research_paper
_posts/consciousness/2025-07-06-inception-prompting-paper.md,research_paper
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,research_paper
_posts/consciousness/2025-07-06-echosynth-proposal.md,research_paper
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,research_paper
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,research_paper
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,research_paper
_posts/consciousness/2025-07-06-ai-introspection-study.md,research_paper
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,research_paper
_posts/consciousness/2025-07-06-ai-bias-paper.md,research_paper
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,research_paper
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,research_paper
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,research_paper
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,research_paper
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,research_paper