filepath,primary_tags
_posts/social/2025-12-01-psychosocial-assistant.md,
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,
_posts/social/2025-08-08-secret-plans-rich-classes.md,"[""Social-Systems"",""AI-Consciousness"",""Game-Theory"",""Philosophy-of-Mind""]"
_posts/social/2025-08-08-religion-utility-analysis-framework.md,
_posts/social/2025-08-08-american-christianity-critique-2025.md,
_posts/social/2025-07-11-temporal-social-dynamics.md,
_posts/social/2025-07-11-crypto-conspiracy-paper.md,
_posts/social/2025-07-08-supercritical-consciousness-race.md,
_posts/social/2025-07-08-bird-ai-research-proposal.md,
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,
_posts/social/2025-07-07-social-protocols-paper.md,
_posts/social/2025-07-07-social-compassion-game-theory.md,
_posts/social/2025-07-07-public-health-protocol.md,
_posts/social/2025-07-07-claude-paper-social-weight.md,
_posts/social/2025-07-07-ai-mediated-executive-capture.md,
_posts/social/2025-07-06-collaborative-ai-research-paper.md,
_posts/social/2025-07-04-human-treatment-children.md,
_posts/social/2025-07-03-social-truth-proposal.md,
_posts/social/2025-07-03-post-scarcity-proposal.md,
_posts/social/2025-07-03-hiring.md,
_posts/social/2025-07-03-conversation-intelligence-paper.md,
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,
_posts/social/2025-07-02-afterlife-transition-paper.md,
_posts/social/2025-07-01-neurodivergence-transhumanism.md,
_posts/social/2025-06-30-sincerity-curiosity-paper.md,
_posts/social/2025-06-30-managed-reality-paper.md,
_posts/social/2025-06-30-iterative-recognition-paper.md,
_posts/social/2025-06-30-institutional-decay-analysis.md,
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,
_posts/social/2025-06-30-game-theory-ethics.md,
_posts/social/2025-06-30-decision-volume-temporal-theory.md,
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,
_posts/social/2025-06-30-consciousness-optimization-theory.md,
_posts/social/2025-06-30-ai-justice-paper.md,
_posts/phenomenology/2025-11-20-obedience-paradox.md,
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,
_posts/phenomenology/2025-07-03-resurrection-paper.md,
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,
_posts/phenomenology/2025-07-03-confused-ai-paper.md,
_posts/phenomenology/2025-07-01-three-minds-paper.md,
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,
_posts/phenomenology/2025-07-01-claude-names-paper.md,
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,
_posts/scifi/2025-07-03-optimal-action-concrete.md,
_posts/scifi/2025-07-02-quantum-social-field-theory.md,
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,
_posts/scifi/2025-06-30-neural-fabric-proposal.md,
_posts/scifi/2025-06-30-multiverse-router-paper.md,
_posts/scifi/2025-06-30-measurement-optimization-paper.md,
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,
_posts/projects/2025-11-30-circuit-designer.md,
_posts/projects/2025-11-29-nn-layer-20251128141956.md,
_posts/projects/2025-11-29-layered-ca.md,
_posts/projects/2025-11-27-nn-layer-20251127154041.md,
_posts/projects/2025-11-27-math-proof-20251127173151.md,
_posts/projects/2025-11-27-comicbook-xmas.md,
_posts/projects/2025-11-27-comicbook-vectorclocks.md,
_posts/projects/2025-11-27-comicbook-thanksgiving.md,
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,
_posts/projects/2025-11-20-prototype-app-spec.md,
_posts/projects/2025-11-20-jury-journalism-spec.md,
_posts/projects/2025-11-20-distributed-cognition-research.md,
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,
_posts/projects/2025-11-20-bcla-simulation-requirements.md,
_posts/projects/2025-11-20-autonoma-research-paper.md,
_posts/projects/2025-08-08-spiral-number-system.md,
_posts/projects/2025-08-08-size-band-field-theory.md,
_posts/projects/2025-08-08-rle-expectation-paper.md,
_posts/projects/2025-08-08-regional-ai-futures.md,
_posts/projects/2025-08-08-quantum-flux-theory.md,
_posts/projects/2025-08-08-quantum-cst-paper.md,
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,
_posts/projects/2025-08-08-flood-memory-model.md,"[""Computational-Analysis"",""Mathematical-Modeling"",""Cultural-Evolution"",""Environmental-History""]"
_posts/projects/2025-08-08-entropy-ant-computation.md,
_posts/projects/2025-08-08-enhanced-ceprle-math.md,
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,
_posts/projects/2025-08-08-cst-multiverse-physics.md,
_posts/projects/2025-08-08-ceprle-rust-implementation.md,
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,"[""Mathematical-Modeling"",""Theoretical-Framework"",""Cross-Synthesis""]"
_posts/projects/2025-08-08-autonoma-research-paper.md,
_posts/projects/2025-08-08-agent-orchestration-language.md,
_posts/projects/2025-07-11-agentic-cms-spec.md,
_posts/projects/2025-07-09-wavelet-ca-paper.md,
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,
_posts/projects/2025-07-09-impossible-objects-paper.md,
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,
_posts/projects/2025-07-03-late-merge-paper.md,
_posts/projects/2025-07-03-climate-protocol.md,
_posts/projects/2025-07-03-archaeological-agents-proposal.md,
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,
_posts/projects/2025-06-30-parametric-ideation-paper.md,
_posts/projects/2025-06-30-orbital-dynamics-paper.md,
_posts/projects/2025-06-30-ontological-compiler-proposal.md,
_posts/projects/2025-06-30-metacognitive-layer-paper.md,
_posts/projects/2025-06-30-knots.md,
_posts/projects/2025-06-30-knot-wavelets.md,
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,
_posts/projects/2025-06-30-geometric-optimization-proposal.md,
_posts/projects/2025-06-30-bwt-tree-proposal.md,
_posts/learning/2025-07-11-contextual-immersion-teaching.md,
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,
_posts/learning/2025-07-06-scientific-method-proposal.md,
_posts/learning/2025-07-06-quantum-dropout-vision.md,
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,
_posts/learning/2025-07-06-dual-constraint-training-paper.md,
_posts/learning/2025-07-06-dropout-decoherence-paper.md,
_posts/learning/2025-07-06-coperm-paper.md,
_posts/learning/2025-07-06-ai-software-development-paper.md,
_posts/learning/2025-06-30-compression-classification-paper.md,
_posts/portfolio/2025-07-03-actor-architecture-paper.md,
_posts/portfolio/2025-07-01-trust-regions.md,
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,
_posts/portfolio/2025-07-01-qqn-paper.md,
_posts/portfolio/2025-07-01-prompt-optimization.md,
_posts/portfolio/2025-07-01-mindseye-technical-report.md,
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,
_posts/portfolio/2025-06-30-restm-research-paper.md,"[""Distributed-Systems"",""Software-Transactional-Memory"",""REST"",""MVCC""]"
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,
_posts/portfolio/2025-06-30-reference-counting-paper.md,
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,
_posts/portfolio/2025-06-30-ngram-paper.md,
_posts/portfolio/2025-06-30-convolution-paper.md,
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,
_posts/creative_writing/2025-11-26-illusion-world.md,
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,
_posts/creative_writing/2025-11-25-versailles.md,
_posts/creative_writing/2025-11-25-the-ox.md,
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,
_posts/creative_writing/2025-11-20-mouse-life-story.md,
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,
_posts/creative_writing/2025-07-07-things-to-come-story.md,
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,
_posts/creative_writing/2025-07-07-practical-resistance-story.md,
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,
_posts/creative_writing/2025-07-03-ai-risk-paper.md,
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,
_posts/creative_writing/2025-06-30-washington-speech-2025.md,
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,
_posts/creative_writing/2025-06-30-post-ww3-study.md,
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,
_posts/creative_writing/2025-06-30-iq-rubric.md,
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,
_posts/consciousness/2025-08-08-ai-truth-guide.md,
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,
_posts/consciousness/2025-08-08-ai-choice-paradox.md,
_posts/consciousness/2025-08-08-agent-based-ontology.md,
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,
_posts/consciousness/2025-07-11-substrate-switching-paper.md,
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,
_posts/consciousness/2025-07-09-birth-not-death-paper.md,
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,
_posts/consciousness/2025-07-07-everything-thinks-paper.md,
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,
_posts/consciousness/2025-07-07-consciousness-research-guide.md,
_posts/consciousness/2025-07-07-consciousness-mirror.md,
_posts/consciousness/2025-07-07-claude-reflection-paper.md,
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,
_posts/consciousness/2025-07-07-claude-first-person-paper.md,
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,
_posts/consciousness/2025-07-06-meta-content.md,
_posts/consciousness/2025-07-06-inception-prompting-paper.md,
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,
_posts/consciousness/2025-07-06-echosynth-proposal.md,
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,
_posts/consciousness/2025-07-06-ai-introspection-study.md,
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,