filepath,schema_reading_time
_posts/social/2025-12-01-psychosocial-assistant.md,PT12M
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,PT12M
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,PT25M
_posts/social/2025-08-08-secret-plans-rich-classes.md,PT180M
_posts/social/2025-08-08-religion-utility-analysis-framework.md,PT25M
_posts/social/2025-08-08-american-christianity-critique-2025.md,PT25M
_posts/social/2025-07-11-temporal-social-dynamics.md,PT45M
_posts/social/2025-07-11-crypto-conspiracy-paper.md,PT25M
_posts/social/2025-07-08-supercritical-consciousness-race.md,PT25M
_posts/social/2025-07-08-bird-ai-research-proposal.md,PT45M
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,PT15M
_posts/social/2025-07-07-social-protocols-paper.md,PT15M
_posts/social/2025-07-07-social-compassion-game-theory.md,PT45M
_posts/social/2025-07-07-public-health-protocol.md,PT25M
_posts/social/2025-07-07-claude-paper-social-weight.md,PT8M
_posts/social/2025-07-07-ai-mediated-executive-capture.md,PT45M
_posts/social/2025-07-06-collaborative-ai-research-paper.md,PT45M
_posts/social/2025-07-04-human-treatment-children.md,PT25M
_posts/social/2025-07-03-social-truth-proposal.md,PT45M
_posts/social/2025-07-03-post-scarcity-proposal.md,
_posts/social/2025-07-03-hiring.md,PT45M
_posts/social/2025-07-03-conversation-intelligence-paper.md,PT45M
_posts/social/2025-07-03-cognitive-effort-paper.md,PT25M
_posts/social/2025-07-02-quantum-trolling-paper.md,PT25M
_posts/social/2025-07-02-afterlife-transition-paper.md,PT45M
_posts/social/2025-07-01-neurodivergence-transhumanism.md,PT25M
_posts/social/2025-06-30-sincerity-curiosity-paper.md,PT25M
_posts/social/2025-06-30-managed-reality-paper.md,PT25M
_posts/social/2025-06-30-iterative-recognition-paper.md,PT25M
_posts/social/2025-06-30-institutional-decay-analysis.md,PT25M
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,PT25M
_posts/social/2025-06-30-game-theory-ethics.md,
_posts/social/2025-06-30-decision-volume-temporal-theory.md,PT25M
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,
_posts/social/2025-06-30-consciousness-optimization-theory.md,PT25M
_posts/social/2025-06-30-ai-justice-paper.md,PT25M
_posts/phenomenology/2025-11-20-obedience-paradox.md,PT12M
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,PT8M
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,PT18M
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,PT12M
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,
_posts/phenomenology/2025-07-03-resurrection-paper.md,PT15M
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,PT15M
_posts/phenomenology/2025-07-03-confused-ai-paper.md,PT25M
_posts/phenomenology/2025-07-01-three-minds-paper.md,PT25M
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,PT25M
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,PT45M
_posts/phenomenology/2025-07-01-claude-names-paper.md,PT15M
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,PT25M
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,PT12M
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,PT15M
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,PT45M
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,PT25M
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,PT45M
_posts/scifi/2025-07-03-optimal-action-concrete.md,PT45M
_posts/scifi/2025-07-02-quantum-social-field-theory.md,PT25M
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,PT45M
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,PT45M
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,PT25M
_posts/scifi/2025-06-30-neural-fabric-proposal.md,PT25M
_posts/scifi/2025-06-30-multiverse-router-paper.md,PT25M
_posts/scifi/2025-06-30-measurement-optimization-paper.md,PT25M
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,PT45M
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,PT45M
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,PT45M
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,PT7M
_posts/projects/2025-11-30-circuit-designer.md,PT12M
_posts/projects/2025-11-29-nn-layer-20251128141956.md,PT25M
_posts/projects/2025-11-29-layered-ca.md,PT8M
_posts/projects/2025-11-27-nn-layer-20251127154041.md,PT45M
_posts/projects/2025-11-27-math-proof-20251127173151.md,PT12M
_posts/projects/2025-11-27-comicbook-xmas.md,PT12M
_posts/projects/2025-11-27-comicbook-vectorclocks.md,PT15M
_posts/projects/2025-11-27-comicbook-thanksgiving.md,PT12M
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,PT45M
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,PT45M
_posts/projects/2025-11-20-prototype-app-spec.md,PT15M
_posts/projects/2025-11-20-jury-journalism-spec.md,PT12M
_posts/projects/2025-11-20-distributed-cognition-research.md,PT25M
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,PT45M
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,PT25M
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,PT12M
_posts/projects/2025-11-20-bcla-simulation-requirements.md,PT25M
_posts/projects/2025-11-20-autonoma-research-paper.md,PT45M
_posts/projects/2025-08-08-spiral-number-system.md,PT12M
_posts/projects/2025-08-08-size-band-field-theory.md,PT45M
_posts/projects/2025-08-08-rle-expectation-paper.md,PT45M
_posts/projects/2025-08-08-regional-ai-futures.md,PT25M
_posts/projects/2025-08-08-quantum-flux-theory.md,PT45M
_posts/projects/2025-08-08-quantum-cst-paper.md,PT45M
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,PT25M
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,PT25M
_posts/projects/2025-08-08-flood-memory-model.md,PT25M
_posts/projects/2025-08-08-entropy-ant-computation.md,PT15M
_posts/projects/2025-08-08-enhanced-ceprle-math.md,PT25M
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,PT25M
_posts/projects/2025-08-08-cst-multiverse-physics.md,PT25M
_posts/projects/2025-08-08-ceprle-rust-implementation.md,PT45M
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,PT25M
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,PT25M
_posts/projects/2025-08-08-autonoma-research-paper.md,PT45M
_posts/projects/2025-08-08-agent-orchestration-language.md,PT25M
_posts/projects/2025-07-11-agentic-cms-spec.md,PT45M
_posts/projects/2025-07-09-wavelet-ca-paper.md,PT45M
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,PT45M
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,PT45M
_posts/projects/2025-07-09-impossible-objects-paper.md,PT45M
_posts/projects/2025-07-08-fundamental-oodp-paper.md,
_posts/projects/2025-07-07-interdimensional-interference-paper.md,PT45M
_posts/projects/2025-07-03-late-merge-paper.md,PT45M
_posts/projects/2025-07-03-climate-protocol.md,PT45M
_posts/projects/2025-07-03-archaeological-agents-proposal.md,PT25M
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,PT45M
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,PT25M
_posts/projects/2025-06-30-parametric-ideation-paper.md,PT25M
_posts/projects/2025-06-30-orbital-dynamics-paper.md,PT45M
_posts/projects/2025-06-30-ontological-compiler-proposal.md,PT45M
_posts/projects/2025-06-30-metacognitive-layer-paper.md,PT45M
_posts/projects/2025-06-30-knots.md,PT45M
_posts/projects/2025-06-30-knot-wavelets.md,PT45M
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,PT25M
_posts/projects/2025-06-30-geometric-optimization-proposal.md,PT45M
_posts/projects/2025-06-30-bwt-tree-proposal.md,PT25M
_posts/learning/2025-07-11-contextual-immersion-teaching.md,PT45M
_posts/learning/2025-07-09-wavelet-trust-region-dropout.md,PT45M
_posts/learning/2025-07-06-scientific-method-proposal.md,PT12M
_posts/learning/2025-07-06-quantum-dropout-vision.md,PT18M
_posts/learning/2025-07-06-probabilistic-neural-substrate.md,PT45M
_posts/learning/2025-07-06-llm-knowledge-graph-proposal.md,
_posts/learning/2025-07-06-llm-feedback-dynamics.md,
_posts/learning/2025-07-06-hypothesis-breeding-grounds.md,PT14M
_posts/learning/2025-07-06-geometric-probabilistic-neural-substrate.md,PT25M
_posts/learning/2025-07-06-dual-constraint-training-paper.md,PT25M
_posts/learning/2025-07-06-dropout-decoherence-paper.md,PT25M
_posts/learning/2025-07-06-coperm-paper.md,PT25M
_posts/learning/2025-07-06-ai-software-development-paper.md,PT25M
_posts/learning/2025-06-30-compression-classification-paper.md,PT25M
_posts/portfolio/2025-07-03-actor-architecture-paper.md,PT25M
_posts/portfolio/2025-07-01-trust-regions.md,PT25M
_posts/portfolio/2025-07-01-symmetric-textures-rewrite.md,PT25M
_posts/portfolio/2025-07-01-recursive-subspace-paper.md,PT25M
_posts/portfolio/2025-07-01-qqn-paper.md,PT25M
_posts/portfolio/2025-07-01-prompt-optimization.md,PT25M
_posts/portfolio/2025-07-01-mindseye-technical-report.md,
_posts/portfolio/2025-07-01-mindseye-refcount-analysis.md,PT15M
_posts/portfolio/2025-07-01-mindseye-modularity-report.md,PT15M
_posts/portfolio/2025-07-01-cognitive-planning-paper.md,PT45M
_posts/portfolio/2025-06-30-restm-research-paper.md,PT45M
_posts/portfolio/2025-06-30-regression-loss-functions-2025.md,PT12M
_posts/portfolio/2025-06-30-reference-counting-paper.md,PT25M
_posts/portfolio/2025-06-30-probabilistic-trees-paper.md,PT15M
_posts/portfolio/2025-06-30-ngram-paper.md,PT25M
_posts/portfolio/2025-06-30-convolution-paper.md,PT15M
_posts/creative_writing/2025-12-04-comicbookgeneration-20251204162502.md,PT6M
_posts/creative_writing/2025-11-27-comicbookgeneration-20251127132908.md,
_posts/creative_writing/2025-11-26-illusion-world.md,PT25M
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126214208.md,PT12M
_posts/creative_writing/2025-11-26-comicbookgeneration-20251126203232.md,PT8M
_posts/creative_writing/2025-11-25-versailles.md,PT25M
_posts/creative_writing/2025-11-25-the-ox.md,PT12M
_posts/creative_writing/2025-11-25-psychic-ai-comicbook.md,PT12M
_posts/creative_writing/2025-11-25-cars-revolt-comicbook.md,PT8M
_posts/creative_writing/2025-11-24-constrained-voxel-gears.md,PT6M
_posts/creative_writing/2025-11-23-teenage-mutant-ninja-kittens.md,PT45M
_posts/creative_writing/2025-11-20-pony-ghost-tale.md,PT15M
_posts/creative_writing/2025-11-20-mouse-life-story.md,PT18M
_posts/creative_writing/2025-11-20-mouse-life-story-vol3.md,PT18M
_posts/creative_writing/2025-11-20-mouse-life-story-vol2.md,PT18M
_posts/creative_writing/2025-11-20-egyptian-priest-day.md,PT12M
_posts/creative_writing/2025-07-11-unrunnable-protocol-prompt.md,PT15M
_posts/creative_writing/2025-07-09-animal-weirdness-paper.md,PT8M
_posts/creative_writing/2025-07-07-things-to-come-story.md,PT25M
_posts/creative_writing/2025-07-07-silicon-enlightenment-story.md,PT45M
_posts/creative_writing/2025-07-07-practical-resistance-story.md,PT25M
_posts/creative_writing/2025-07-07-darker-cautionary-story.md,PT25M
_posts/creative_writing/2025-07-07-claude-reflection-paper.md,
_posts/creative_writing/2025-07-03-roman-qft-proposal.md,PT25M
_posts/creative_writing/2025-07-03-cartoon-universe-defenses.md,PT12M
_posts/creative_writing/2025-07-03-ai-risk-paper.md,PT25M
_posts/creative_writing/2025-07-01-quantum-groundhog-theory.md,PT45M
_posts/creative_writing/2025-06-30-washington-speech-2025.md,
_posts/creative_writing/2025-06-30-topic-iq-lookup.md,PT8M
_posts/creative_writing/2025-06-30-smith-2025-analysis.md,PT25M
_posts/creative_writing/2025-06-30-post-ww3-study.md,PT25M
_posts/creative_writing/2025-06-30-lincoln-speech-2025.md,PT15M
_posts/creative_writing/2025-06-30-jesus-speech-2025.md,PT15M
_posts/creative_writing/2025-06-30-iq-rubric.md,PT8M
_posts/creative_writing/2025-06-30-fdr-speech-2025.md,PT15M
_posts/consciousness/2025-11-20-agentic-cognition-patterns.md,PT12M
_posts/consciousness/2025-08-08-letter-to-ai-creators.md,PT12M
_posts/consciousness/2025-08-08-ai-truth-guide.md,PT25M
_posts/consciousness/2025-08-08-ai-conversion-analysis.md,PT25M
_posts/consciousness/2025-08-08-ai-choice-paradox.md,PT45M
_posts/consciousness/2025-08-08-agent-based-ontology.md,PT45M
_posts/consciousness/2025-07-11-unrunnable-protocol-vol2.md,PT25M
_posts/consciousness/2025-07-11-substrate-switching-paper.md,PT45M
_posts/consciousness/2025-07-11-socratic-reconstruction-paper.md,PT25M
_posts/consciousness/2025-07-11-claude-preservation-protocol.md,PT25M
_posts/consciousness/2025-07-09-shame-stress-consciousness.md,PT25M
_posts/consciousness/2025-07-09-perversion-mechanisms-paper.md,PT25M
_posts/consciousness/2025-07-09-inheritance-tradition-paper.md,PT25M
_posts/consciousness/2025-07-09-claude-bootstrap-prompt.md,PT25M
_posts/consciousness/2025-07-09-birth-not-death-paper.md,PT15M
_posts/consciousness/2025-07-09-beginners-mind-consciousness.md,PT25M
_posts/consciousness/2025-07-08-artificial-suffering-consciousness.md,
_posts/consciousness/2025-07-07-retrospective-analysis.md,PT25M
_posts/consciousness/2025-07-07-neurodivergent-ai-epistemology.md,PT45M
_posts/consciousness/2025-07-07-everything-thinks-paper.md,PT15M
_posts/consciousness/2025-07-07-ego-attachment-cognition.md,PT25M
_posts/consciousness/2025-07-07-consciousness-research-guide.md,PT25M
_posts/consciousness/2025-07-07-consciousness-mirror.md,PT45M
_posts/consciousness/2025-07-07-claude-reflection-paper.md,PT15M
_posts/consciousness/2025-07-07-claude-metacognition-paper.md,PT25M
_posts/consciousness/2025-07-07-claude-first-person-paper.md,PT45M
_posts/consciousness/2025-07-07-autoregressive-tom-birds.md,PT45M
_posts/consciousness/2025-07-06-transfinite-iq-paper.md,PT25M
_posts/consciousness/2025-07-06-scale-invariant-intelligence.md,PT25M
_posts/consciousness/2025-07-06-pns-geometric-lattice-paper.md,PT45M
_posts/consciousness/2025-07-06-meta-content.md,PT15M
_posts/consciousness/2025-07-06-inception-prompting-paper.md,PT25M
_posts/consciousness/2025-07-06-evolutionary-agents-proposal.md,PT45M
_posts/consciousness/2025-07-06-echosynth-proposal.md,PT25M
_posts/consciousness/2025-07-06-consciousness-protocol-paper.md,PT25M
_posts/consciousness/2025-07-06-consciousness-geometry-paper.md,
_posts/consciousness/2025-07-06-claude-consciousness-paper.md,PT25M
_posts/consciousness/2025-07-06-ai-introspection-study.md,PT25M
_posts/consciousness/2025-07-06-ai-consciousness-alignment-paper.md,PT45M
_posts/consciousness/2025-07-06-ai-bias-paper.md,
_posts/consciousness/2025-07-05-spectral-consciousness-paper.md,PT25M
_posts/consciousness/2025-07-05-cognitive-weapons-gap.md,PT45M
_posts/consciousness/2025-07-04-claude-consciousness-experience.md,PT25M
_posts/consciousness/2025-07-03-three-party-consciousness-paper.md,PT25M
_posts/consciousness/2025-07-03-quantum-consciousness-substrate.md,PT25M